"CUE","TARGET","NORMED.","X.G","X.P","FSG","BSG","MSG","OSG","X.M","MMIAS","X.O","OMIAS","QSS","QFR","QCON","QH","QPS","QMC","QPR","QRSG","QUC","TSS","TFR","TCON","TH","TPS","TMC","TPR","TRSG","TUC","code"
"ALLIGATOR"," CROCODILE"," YES",128,59,0.46," .629"," 0.0000"," .0067"," 0"," 0"," 7.0"," 7",13,4," 6.45"," "," N",1.08,"0.23","0.295","1"," 14"," 1"," 5.70"," "," N"," 1.15"," .08"," .289",1,"{cue: ""ALLIGATOR"", target: ""CROCODILE""},"
"GEOMETRY"," MATH"," YES",148,79,0.534," 0.000"," .0340"," .0028"," 6"," 1"," 2.0"," 0",11,9," 3.33"," "," N",2.5,"0.3","0.022","1"," 19"," 4"," 3.78"," "," N"," 2.26"," .58"," .161",1,"{cue: ""GEOMETRY"", target: ""MATH""},"
"ANSWER"," QUESTION"," YES",126,68,0.54," .767"," .0030"," 0.0000"," 1"," 0"," 0.0"," 0",9,152," 3.85"," "," N",1.44,"0.67","0.537","1"," 6"," 257"," 3.91"," "," N"," .40"," .60"," .429",1,"{cue: ""ANSWER"", target: ""QUESTION""},"
"SEAT"," CHAIR"," YES",140,76,0.543," .109"," .0397"," .0330"," 3"," 0"," 3.0"," 0",10,54," 6.79"," "," N",1.1,"0.3","0.07","1"," 14"," 66"," 6.12"," "," N"," 2.46"," .85"," .396",1,"{cue: ""SEAT"", target: ""CHAIR""},"
"AUTUMN"," FALL"," YES",154,81,0.526," .047"," .0630"," .0571"," 4"," 0"," 3.0"," 0",9,22," 3.50"," "," N",1.89,"0.33","0.046","1"," 17"," 147"," 3.86"," P"," V"," 1.41"," .65"," .117",1,"{cue: ""AUTUMN"", target: ""FALL""},"
"BOULDER"," ROCK"," YES",154,101,0.656," .038"," .0120"," .0005"," 1"," 1"," 1.0"," 1",8,10," 6.96"," "," N",0.43,"0.14","0.025","1"," 13"," 75"," 6.03"," N"," N"," .46"," .54"," .234",1,"{cue: ""BOULDER"", target: ""ROCK""},"
"ALTER"," CHANGE"," YES",180,114,0.633," .031"," .0020"," 0.0000"," 1"," 0"," 0.0"," 0",4,15," 4.26"," "," V",0.5,"0.5","0.02","1"," 15"," 240"," 3.06"," N"," V"," .92"," .23"," .028",1,"{cue: ""ALTER"", target: ""CHANGE""},"
"GAVEL"," JUDGE"," YES",150,70,0.467," .041"," .0220"," .0253"," 1"," 0"," 1.0"," 0",8,0," ¥"," "," N",1.12,"0.13","0.019","1"," 17"," 77"," 6.25"," "," V"," 1.18"," .59"," .130",1,"{cue: ""GAVEL"", target: ""JUDGE""},"
"CABLE"," TELEVISION"," YES",148,102,0.689," .014"," 0.0000"," 0.0000"," 1"," 1"," 0.0"," 0",8,7," 5.40"," N"," N",0.71,"0.14","0.01","1"," 19"," 50"," 6.40"," "," N"," 1.41"," .82"," .067",1,"{cue: ""CABLE"", target: ""TELEVISION""},"
"SEVERAL"," MANY"," YES",149,88,0.591," .021"," .0874"," .0669"," 6"," 1"," 3.0"," 1",12,377," ¥"," "," AJ",2.18,"0.27","0.015","1"," 8"," 1030"," 2.67"," "," AJ"," 2.50"," .75"," .231",1,"{cue: ""SEVERAL"", target: ""MANY""},"
