"CUE","TARGET","NORMED.","X.G","X.P","FSG","BSG","MSG","OSG","X.M","MMIAS","X.O","OMIAS","QSS","QFR","QCON","QH","QPS","QMC","QPR","QRSG","QUC","TSS","TFR","TCON","TH","TPS","TMC","TPR","TRSG","TUC","code"
"AGRICULTURE"," GROW"," YES",152,2,0.013," 0.000"," .0190"," .0120"," 4"," 2"," 2.0"," 1",18,23," ¥"," "," N",3,"0.13","0.002","1"," 24"," 63"," 4.05"," "," V"," 1.73"," .18"," .013",1,"{cue: ""AGRICULTURE"", target: ""GROW""},"
"BARREL"," WHISKEY"," YES",165,2,0.012," 0.000"," .0010"," .0092"," 1"," 1"," 2.0"," 2",25,24," 6.10"," "," N",1.08,"0.08","0.003","1"," 15"," 17"," 6.00"," "," N"," 5.14"," .29"," .018",1,"{cue: ""BARREL"", target: ""WHISKEY""},"
"AGREEMENT"," DOCUMENT"," YES",146,2,0.014," .014"," .0030"," .0041"," 1"," 6"," 1.0"," 0",17,106," 2.93"," "," N",1.27,"0.27","0.042","0"," 17"," 13"," ¥"," "," N"," 1.67"," .33"," .005",1,"{cue: ""AGREEMENT"", target: ""DOCUMENT""},"
"BREED"," KIDS"," YES",154,2,0.013," 0.000"," 0.0000"," 0.0000"," 1"," 1"," 0.0"," 0",10,17," ¥"," "," V",1.44,"0","0","1"," 24"," 32"," ¥"," "," N"," 1.95"," .20"," .055",1,"{cue: ""BREED"", target: ""KIDS""},"
"ASCEND"," GO"," YES",149,2,0.013," 0.000"," .0190"," .0021"," 2"," 2"," 1.0"," 0",15,1," ¥"," "," V",2.46,"0.23","0.021","1"," 14"," 626"," 3.33"," "," V"," 2.64"," .73"," .425",1,"{cue: ""ASCEND"", target: ""GO""},"
"GARDEN"," PRETTY"," YES",151,2,0.013," 0.000"," .0260"," .0055"," 1"," 1"," 1.0"," 0",14,60," 5.92"," "," N",1.23,"0.31","0.041","1"," 11"," 107"," 2.90"," "," AJ"," 2.82"," .91"," .200",1,"{cue: ""GARDEN"", target: ""PRETTY""},"
"AMBULANCE"," BLOOD"," YES",138,2,0.014," 0.000"," .0010"," .0049"," 1"," 0"," 2.0"," 1",18,6," 7.00"," "," N",1.72,"0.22","0.033","1"," 20"," 121"," 6.55"," "," N"," .53"," .65"," .123",1,"{cue: ""AMBULANCE"", target: ""BLOOD""},"
"BINDER"," SCHOOL"," YES",154,2,0.013," 0.000"," .0740"," .0102"," 4"," 1"," 1.0"," 0",12,1," ¥"," "," N",1.91,"0.18","0.012","1"," 22"," 492"," 5.25"," T"," N"," 3.35"," .70"," .086",1,"{cue: ""BINDER"", target: ""SCHOOL""},"
"SALAD"," EAT"," YES",127,2,0.016," 0.000"," .0224"," .0192"," 4"," 0"," 1.0"," 0",15,9," 6.83"," "," N",1.73,"0.47","0.176","1"," 11"," 61"," 4.75"," "," N"," 1.20"," .70"," .181",1,"{cue: ""SALAD"", target: ""EAT""},"
"ANNIHILATE"," WAR"," YES",151,2,0.013," 0.000"," .0040"," .0053"," 1"," 1"," 2.0"," 2",12,1," ¥"," "," V",0.91,"0.18","0.009","1"," 19"," 464"," 4.73"," "," N"," 2.18"," .24"," .128",1,"{cue: ""ANNIHILATE"", target: ""WAR""},"
"AIRPLANE"," BIRD"," YES",197,3,0.015," 0.000"," .0220"," .0702"," 3"," 0"," 3.0"," 0",21,11," 6.83"," "," N",2.62,"0.29","0.061","1"," 23"," 31"," 5.77"," "," N"," 1.45"," .68"," .198",1,"{cue: ""AIRPLANE"", target: ""BIRD""},"
"AGENCY"," EMPLOYMENT"," YES",148,2,0.014," .014"," 0.0000"," .0300"," 1"," 2"," 3.0"," 2",19,56," ¥"," "," N",2.18,"0.12","0","1"," 6"," 47"," 3.75"," "," N"," 2.50"," .50"," .011",1,"{cue: ""AGENCY"", target: ""EMPLOYMENT""},"
"BATTLE"," DIE"," YES",147,2,0.014," 0.000"," .0010"," .0016"," 1"," 2"," 1.0"," 0",15,87," 5.16"," "," N",1.46,"0.31","0.015","1"," 21"," 73"," 3.54"," N"," V"," 2.79"," .42"," .153",1,"{cue: ""BATTLE"", target: ""DIE""},"
"SANDALS"," HOT"," YES",148,2,0.014," 0.000"," .0093"," 0.0000"," 1"," 1"," 0.0"," 0",11,5," 6.05"," "," N",1.2,"0.1","0.01","1"," 8"," 130"," 5.03"," G"," AJ"," 1.12"," .88"," .301",1,"{cue: ""SANDALS"", target: ""HOT""},"
"BASKET"," EGGS"," YES",143,2,0.014," 0.000"," 0.0000"," 0.0000"," 0"," 0"," 0.0"," 0",19,17," 5.93"," G"," N",0.53,"0.37","0.036","1"," 21"," 35"," 5.79"," "," N"," 1.71"," .29"," .171",1,"{cue: ""BASKET"", target: ""EGGS""},"
"ASPIRIN"," ADVIL"," YES",132,2,0.015," .113"," .0020"," .1178"," 1"," 0"," 6.0"," 5",10,3," 5.70"," "," N",2.6,"0.8","0.118","1"," 13"," 0"," ¥"," "," N"," 3.27"," .18"," .010",1,"{cue: ""ASPIRIN"", target: ""ADVIL""},"
"BUM"," JERK"," YES",156,2,0.013," 0.000"," 0.0000"," 0.0000"," 0"," 6"," 0.0"," 0",21,7," 6.08"," G"," N",0.67,"0.47","0.096","0"," 22"," 2"," 4.53"," N"," V"," 1.15"," .25"," .007",1,"{cue: ""BUM"", target: ""JERK""},"
