CUE, TARGET, NORMED?, #G, #P, FSG, BSG, MSG, OSG, #M, MMIAS, #O, OMIAS, QSS, QFR, QCON, QH, QPS, QMC, QPR, QRSG, QUC, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC
DAD, MOM, YES, 145, 103, .710, .759, 0.0000, 0.0000, 1, 0, 0.0, 0, 5, 15, 6.13, , N, .20, .60, .550, 1, 5, 3, 6.40, , N, 1.20, .60, .541, 1
DAD, FATHER, YES, 145, 19, .131, .071, 0.0000, 0.0000, 0, 0, 0.0, 0, 5, 15, 6.13, , N, .20, .60, .550, 1, 4, 183, 5.90, , N, .50, .75, .437, 1
DAD, GREAT, YES, 145, 2, .014, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 5, 15, 6.13, , N, .20, .60, .550, 1, 18, 665, 3.03, G, AJ, 2.69, .44, .081, 1
DAD, POP, YES, 145, 2, .014, .095, 0.0000, .0241, 0, 0, 1.0, 1, 5, 15, 6.13, , N, .20, .60, .550, 1, 15, 8, 3.85, , V, 1.79, .36, .203, 1
DAD, TALL, YES, 145, 2, .014, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 5, 15, 6.13, , N, .20, .60, .550, 1, 9, 55, 4.35, , AJ, 1.25, .63, .302, 1
DAGGER, KNIFE, YES, 197, 121, .614, 0.000, .0610, .0094, 6, 0, 4.0, 1, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 13, 76, 6.08, , N, 1.46, .69, .222, 1
DAGGER, SWORD, YES, 197, 29, .147, .026, .0310, .1873, 1, 0, 6.0, 5, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 18, 7, 5.25, , N, 2.00, .40, .051, 1
DAGGER, CLOAK, YES, 197, 6, .030, .441, 0.0000, 0.0000, 0, 0, 0.0, 0, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 11, 3, 5.32, , N, 1.30, .20, .014, 1
DAGGER, STAB, YES, 197, 6, .030, 0.000, .0160, .2593, 2, 0, 3.0, 2, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 12, 3, 4.63, , V, 2.56, .11, .008, 1
DAGGER, KILL, YES, 197, 3, .015, 0.000, .0140, .0134, 5, 0, 3.0, 2, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 19, 63, 3.77, , V, 2.06, .47, .200, 1
DAGGER, BLADE, YES, 197, 2, .010, 0.000, .0850, .2126, 2, 0, 2.0, 1, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 9, 13, 5.80, , N, 1.89, .44, .112, 1
DAGGER, BLOOD, YES, 197, 2, .010, 0.000, .0020, 0.0000, 5, 0, 0.0, 0, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 20, 121, 6.55, , N, .53, .65, .123, 1
DAGGER, FIGHT, YES, 197, 2, .010, 0.000, .0150, .0007, 2, 0, 2.0, 2, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 24, 98, 4.16, , V, 2.05, .50, .106, 1
DAGGER, MURDER, YES, 197, 2, .010, 0.000, .0040, .0197, 1, 0, 3.0, 2, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 10, 75, 4.68, , N, 2.70, .30, .164, 1
