CUE, TARGET, NORMED?, #G, #P, FSG, BSG, MSG, OSG, #M, MMIAS, #O, OMIAS, QSS, QFR, QCON, QH, QPS, QMC, QPR, QRSG, QUC, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC
PACK, BACK, YES, 148, 26, .176, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 12, 967, 4.89, , N, 1.25, .50, .406, 1
PACK, SUITCASE, YES, 148, 14, .095, .050, .0035, .0245, 1, 1, 8.0, 7, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 12, 25, ¥, , N, 2.36, .36, .023, 1
PACK, BAG, YES, 148, 9, .061, 0.000, .0138, .0080, 3, 1, 4.0, 2, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 17, 42, 6.30, , N, 1.06, .50, .062, 1
PACK, LEAVE, YES, 148, 8, .054, 0.000, .0047, 0.0000, 4, 1, 0.0, 0, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 18, 205, 3.10, , V, 2.12, .65, .045, 1
PACK, TRIP, YES, 148, 7, .047, 0.000, .0256, .0070, 4, 1, 2.0, 0, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 10, 81, 4.39, T, N, 1.40, .70, .141, 1
PACK, SIX, YES, 148, 6, .041, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 8, 220, ¥, , N, 1.14, .57, .028, 1
PACK, STUFF, YES, 148, 5, .034, .010, 0.0000, 0.0000, 0, 1, 0.0, 0, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 16, 32, 3.71, , N, .73, .20, .080, 1
PACK, LUGGAGE, YES, 148, 4, .027, .014, .0092, .0220, 2, 1, 6.0, 5, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 15, 10, ¥, , N, 2.29, .21, .067, 1
PACK, LUNCH, YES, 148, 4, .027, 0.000, .0134, .0020, 1, 1, 2.0, 1, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 17, 33, 5.46, , N, 1.88, .59, .053, 1
PACK, RAT, YES, 148, 4, .027, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 19, 6, 6.11, G, N, 1.29, .43, .140, 1
PACK, STACK, YES, 148, 4, .027, 0.000, 0.0000, .0005, 0, 1, 1.0, 1, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 17, 9, ¥, , N, .82, .27, .027, 0
PACK, BOX, YES, 148, 3, .020, 0.000, .0063, 0.0000, 3, 1, 0.0, 0, 23, 25, 4.98, N, N, 1.73, .14, .006, 1, 15, 70, 5.91, N, N, .73, .67, .080, 1
